country,manufacturing_site,vendor,molecule_test_type,brand,scheduled_delivery_date_y,manufacturing_site_idsum,manufacturing_site_idcount,manufacturing_site_idmean,manufacturing_site_packsum,manufacturing_site_packcount,manufacturing_site_packmean,manufacturing_site_quantitysum,manufacturing_site_quantitycount,manufacturing_site_quantitymean,manufacturing_site_valuesum,manufacturing_site_valuecount,manufacturing_site_valuemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_pricesum,manufacturing_site_pricecount,manufacturing_site_pricemean,manufacturing_site_designationsum,manufacturing_site_designationcount,manufacturing_site_designationmean,manufacturing_site_usdsum,manufacturing_site_usdcount,manufacturing_site_usdmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean,manufacturing_site_calculatedsum,manufacturing_site_calculatedcount,manufacturing_site_calculatedmean
Côte d'Ivoire,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Zambia,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Haiti,ABBVIE GmbH & Co.KG Wiesbaden,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,2006,74038,12,6169.833333333333,1200,12,100.0,9880,12,823.3333333333334,790400.0,12,65866.66666666667,960.0,12,80.0,9.600000000000001,12,0.8000000000000002,12,12,1.0,564.48,12,47.04,210861.9643420728,12,17571.830361839402,1833305.8550523233,12,152775.48792102694
Vietnam,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,11892,3,3964.0,180,3,60.0,40349,3,13449.666666666666,156929.15,3,52309.71666666667,11.33,3,3.776666666666667,0.2,3,0.06666666666666667,3,3,1.0,141.12,3,47.04,2422.311587606289,3,807.437195868763,827434.7420136634,3,275811.58067122113
Uganda,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,11892,3,3964.0,180,3,60.0,40349,3,13449.666666666666,156929.15,3,52309.71666666667,11.33,3,3.776666666666667,0.2,3,0.06666666666666667,3,3,1.0,141.12,3,47.04,2422.311587606289,3,807.437195868763,827434.7420136634,3,275811.58067122113
Vietnam,"Ranbaxy, Paonta Shahib, India",SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,2006,11892,3,3964.0,180,3,60.0,40349,3,13449.666666666666,156929.15,3,52309.71666666667,11.33,3,3.776666666666667,0.2,3,0.06666666666666667,3,3,1.0,141.12,3,47.04,2422.311587606289,3,807.437195868763,827434.7420136634,3,275811.58067122113
Zambia,MSD South Granville Australia,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz,Stocrin/Sustiva,2007,12448,2,6224.0,180,2,90.0,2122,2,1061.0,68792.54000000001,2,34396.270000000004,64.82,2,32.41,0.72,2,0.36,2,2,1.0,150.10999999999999,2,75.05499999999999,238.6316478034315,2,119.31582390171575,8312.108836043106,2,4156.054418021553
Tanzania,MSD South Granville Australia,SCMS from RDC,Efavirenz,Stocrin/Sustiva,2007,12448,2,6224.0,180,2,90.0,2122,2,1061.0,68792.54000000001,2,34396.270000000004,64.82,2,32.41,0.72,2,0.36,2,2,1.0,150.10999999999999,2,75.05499999999999,238.6316478034315,2,119.31582390171575,8312.108836043106,2,4156.054418021553
Zambia,ABBVIE (Abbott) St. P'burg USA,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,2007,47,1,47.0,120,1,120.0,2800,1,2800.0,115080.0,1,115080.0,41.1,1,41.1,0.34,1,0.34,1,1,1.0,47.04,1,47.04,2572.743225483659,1,2572.743225483659,34385.48352980623,1,34385.48352980623
